date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
2021-11-22,Senior SEO Strategist,"Phoenix, AZ","Former Employee, more than 3 years",Great Team,0,They were a great team of people to work with.,The company was closed and employees were laid off with little compensation or time.,,5.0,5,5,5,1,5,4,circle,circle
2021-04-23,TOP DOG,"Black Earth, WI",Current Employee,brilliant,0,GOD is a decent employer,They are a little judgy,,5.0,,,,,,,circle,circle
2019-06-02,Anonymous,,"Former Employee, more than 3 years",CEO Incompetence,2,"Great fellow employees 
Good benefits",Tim Fagan ran the company into the ground forcing massive layoffs. But he still has a job. Typical corporate America. Complete mismanagement from the top to the middle.,,2.0,4,3,2,2,1,,cross,cross
2018-09-27,Platinum AM,,"Former Employee, more than 5 years",Acct. Management - Time working at G/O was Great!,0,"Solid Colleagues and always room for growth and Leadership was solid too for the most part. Including the CEO. A lot of people say nasty things and truthfully listen to what you will, but their previous CEO Tim would get in the trenches and work hard at helping everyone in every way he could.","Some office Admin were kind of rude and there was a disconnect with Fulfillment and Client Services, which tends to happen in companies. The Mindsets of each division are different. Fulfillment delivery/Red Reports etc. and Retention, growth, ROI upsell/cross-sell. Once you understand that, then it's easy to compromise and come together as one.",,5.0,5,4,5,3,5,,mark,mark
2018-09-11,Anonymous,"Phoenix, AZ","Former Employee, more than 1 year",Marketing,0,Great Location and potential advancement.,To many buyouts and company restructuring.,,3.0,,,,,,,circle,circle
2018-07-30,Digital Media Specialist,,"Former Employee, more than 1 year",G/O Company,4,"Nice people, decent training before you start, good benefits, covered/garage parking, Tegna discounts","Many cliques in the company, work really hard to not get promoted, felt I was dragged along, a lot of talk about promotions and raises, too many transitions and the company did not handle transitioning from Gannett to Tegna well (TON of layoffs)",Don't favor people.,2.0,3,2,1,2,1,,cross,line
2018-07-17,Anonymous,,"Former Employee, more than 1 year","Turn And Run - Far, Far Away",7,"1. The people. Since everyone is at a relatively young age, we all get along really well. We all also have the same thing in common...we hate it there. I can probably count on one hand the amount of current employees that are happy there. 

2. They will take literally anyone that is willing to work there, whether they have experience or not. They just need bodies in seats to push buttons. In fact, the less experience, the better because then they don't have to pay you as much. So if you like to be told how to do your job from someone that has no idea how to do it themselves, this is the perfect place. 

3. Free snacks in the break room. (Although some are expired). 

4. You get to leave at the end of the day.","1. Lack of confidence in the company or in management. You can file complaints with audio/video evidence of poor management and nothing will be done about it. 

2. No opportunity for growth. If you were lucky enough to be provided with an outline of the career path, count your blessings. Make sure you have it documented and signed by both parties. If not, they will claim they never outlined or promised a career path in the first place.

3. Lack of training. Their training program is essentially a 'Sit & Stare"". If you stare at the screen long enough, then you might figure out how to do your ""job"".","You can change the name, but not the company. 
When 6 people quit within 1-2 months, maybe it's time to make a change.",1.0,4,1,1,1,1,,cross,cross
2018-06-14,,,Current Employee,"I just stare at my desk, but it looks like I’m working",8,"You might get laid off. 

In terms of actual work it’s the easiest job you will ever have. Oversight is minimal and expectations are low.","Middle management and team leads are sycophantic and ineffectual. Their sole job seems to be finding new ways to slow down formerly efficient processes. 

People are regularly “managed out” and any issues are dealt with passive aggressively instead of directly. 

Nothing can be discussed in confidence. Every “private” meeting you have, be it with management or HR, will be discussed with other employees. It’s a return to a high school social structure including popularity contests, gossip, and sucking up to get a “good grade”.

No investment in employee growth. Management would rather award false accolades and pat themselves on the back than actually acknowledge what it is that their employees actually do. 

Ever seen the movie “Office Space”?",,1.0,5,1,1,2,1,,cross,cross
2018-05-24,Fulfillment,"Phoenix, AZ","Former Employee, more than 3 years",Listen to Jack Donaghy and shut it down.,8,"Some of the people. Well, those who haven’t gotten out and experienced freedom and way more money yet. Turnaround is so high that I’m not sure who works there anymore.

It’s an easy job because you’re not held accountable for your actions. Did you spell the client's name wrong and run ads for an entire year while never once looking at it and racking up $20k in spend? No worries! Your manager will just blame the Account Manager or client. 

Work laptop that you can take home. Kind of nice but you have to give it back when you’re fired or figure out you’re too good for G/O.","Work Relay - the task/project management system. Someone decided it would be a fantastic idea to fire all the Project Managers, probably because they didn’t know what they did, and get this fancy new “automated” system for managing tasks and projects. The problem is, the people developing the new system never worked in the old one and didn’t quite understand the fulfillment process. It is full of bugs. You can’t organize your tasks. Sometimes you can enter all your information into a task and when you try to save it, it just deletes it (fun!). Tasks are also automatically assigned to it is impossible to gauge workload from a manager's perspective. But that really doesn’t matter because managers have no idea what the process is. But they’ve invested literally millions of dollars into it so they’re never gonna give it up and admit their mistake.

Management. They used to be good. And I have no idea what happened in the last year+ to make things so bad. I think the problem is is that they don’t manage. They want so badly to be your friend and don’t know how to be a manager. There is no constructive feedback, ever. Everything is fine until you make a mistake that they can’t sweep under the rug and then you’re micromanaged until you eventually quit. But you can push your limits pretty far until there is any sort of punishment. I saw an employee literally HIT a manager and it was never reported and nothing happened. Management also has fallen pretty out of touch with the product so that makes giving feedback hard too. Can’t really develop your employees if you don’t know what’s going on with your product. 

Empty promises. They love to talk about career development and all the wonderful things you can do at the company but 99% of the time, that never happens. Their mindset is that you should do the job (for an undetermined amount of time) before you’re even considered for a promotion. Which I somewhat agree with but there needs to be follow up. Not just do the job until “Finance” says they have the budget to promote someone. I saw an employee do a job test for a month and never got feedback. That’s because management thought he was too valuable at his current position to even consider moving him to a different department. Don’t believe all the talk, they’re not going to actually promote you. Sorry.

Being at the mercy of the markets. G/O is under the company Tegna which has sales teams/markets all over the country that sell all the products Tegna offers, G/O Digital being one of them. G/O has a set of rules aka deliverables which dictates what is offered in a product. Those are supposed to be set but they’re more or less a light suggestion at this point. All they have to do is threaten to cancel and they’ll get whatever they want. Want to change your ads every few days for no good reason? DONE. Decide you want multiple goals even though you’re thousands of dollars under the threshold? DONE. It would be one thing if it was the actual client wanting these changes but 95% of the time its the sales teams playing specialist and thinking they know what’s best. The DCSMs need to do a better job managing these relationships and not letting the specialist get walked all over. Also, let them cancel and stand up for once. These accounts are already mad if they’re threatening to cancel. Odds are you’re going to spend more in paying your employees to meet their demands than what they’re actually spending. Ever hear of service creep? Big problem here.","Start over. 

I liked most of the managers as people but they aren’t qualified to run teams. They were never taught how to manage and it shows. 

DEVELOP YOUR PEOPLE. If you’re not a self starter, you will hate G/O. You have to teach yourself the job and how thing work. Actually use the training team to help the specialist. And I don’t mean phone training. 

Quit it with the fake enthusiasm. My manager used to walk in every morning with the most fake happy greeting. And he was too clueless to see that everyone hated it. We know you’re not that happy and you’re not a good actor. Just act normal. We all know things suck pretty bad.",1.0,1,2,1,3,1,,cross,cross
2018-05-22,Anonymous,"Phoenix, AZ",Former Employee,Steer Clear,7,Some of the people and free snacks,"Everything - management, compensation, getting pigeonholed into nontransferable skills/responsibilities...the list goes on and on. Do yourself a favor and just don't.",You shouldn't be in management,1.0,2,1,1,2,1,,cross,cross
2018-05-25,Anonymous,"Phoenix, AZ","Former Employee, less than 1 year",Telemarketing Sales,2,Younger crowd with high energy,High pressure phone sales with minimal lead support,,1.0,,,,,,,circle,circle
2018-03-29,Anonymous,"Phoenix, AZ","Former Employee, more than 1 year",Start-up like company minus the forward thinking,8,"- Fairly diverse
- Startup-like environment
- Decent benefits (if you're single)
- Good opportunity to work with a variety of different verticals and teams
- Would recommend if you're fresh out of college

If you're new to marketing, apply, get your experience and leave in two years or so.","- Slow moving, resistant to necessary changes and innovation
- Poor management at the CEO level
- Top-heavy decisions from upper management at times feels nonsensical and unwilling to keep up with rapid changes in digital marketing
- Too much gatekeeping and hurdles in production processes
- Little room for advancement (in fulfillment) unless you're close friends with a team lead or someone in upper management
- Double standard in terms of employee performance and expectations compared to other teams 
- Heavily underpaid compared to local competitors and what they offer
- Environment can be immature at times and highly unprofessional

Wouldn't recommend if you already have extensive digital marketing experience. You will learn nothing new here (except for what not to do in marketing).","Reward and invest more in the people who actually build your products. Cut the excess corporate, upper management fat, including the obscene, inflated salaries they receive. You're hemorrhaging talent while keeping employees whose only aim is to coast and collect a paycheck. Stop promoting them.

Give fulfillment teams more agency in terms of proposing new products, managing their own products and value their input. Many of them genuinely care about the work they do and are multi-talented.",2.0,3.0,2.0,1.0,3.0,1.0,,cross,cross
2018-04-21,Anonymous,,"Former Employee, more than 1 year",Stay Away - good reviews are obviously written by Mgmt.,6,Downtown. Covered Parking. Can walk to events.,Losing money & clients. Mgrs. only care about themselves and not helping people suceed at their jobs.,"You wonder why they keep laying off people, losing money, raising fees, and losing important clients. If you enjoy digital marketing, go elsewhere. If you need an agency, go elsewhere. It's in a sad state. Many employees are disgruntled, no longer motivated, and looking elsewhere. I'm glad I got out when I did.",1.0,1.0,1.0,1.0,2.0,1.0,,cross,cross
2018-04-17,Anonymous,,Former Employee,Don't do it,6,"None, this place was a huge mistake in my career.",Bad idea to even think about this place,Get your heads together,1.0,1.0,1.0,1.0,1.0,1.0,,cross,cross
2017-12-26,Anonymous,,Former Employee,Decent Company,0,The environment was fun and the culture was great.,There isn't a whole lot of room for advancements unless you know the right people. Company politics are an issue as well.,N/A,3.0,3.0,5.0,3.0,3.0,2.0,,cross,line
2018-01-04,Anonymous,"Phoenix, AZ","Former Employee, more than 3 years",Are you a talented digital marketer? Then run.,16,"They provide lots of unhealthy free snacks in the break room. If you have worked in digital marketing for more than a few months, you will already know more than your team leads and managers, and have great job security. You will meet some wonderful people with great personalities working at the company, and you will all have plenty to talk and bond over venting about how much you hate working here while walking to the nearby Starbucks or to the parking garage. Oh, and the parking garage is sweet for free parking to downtown events (it's like a 10 minute walk from the ballpark).","If you appreciate fair and competitive compensation, maybe consider working elsewhere. If you are talented and good at your job, you will be under appreciated and undervalued. This company only values account managers and sales reps, as they are the client facing ones, and the only employees who receive recognition and praise throughout the company and during CEO Tim Fagan's all-hands meetings. Also, if you are looking to move your career upwards, G/O Digital is not the place for you. Managers and presidents seem to encourage giving false promises to their employees looking to move up, or sabotaging any lateral movement within the company. Their new thing appears to be rolling out new career paths but not actually opening up jobs to move up those career paths.","Tegna needs to just start over with this place. In my time with the company, almost every talented employee I saw at the company in fulfillment moved on. It's not hard to quickly see why. Their CEO, Tim Fagan, is very proud of finally turning a profit after only having to lay off almost half of the company and their entire inside sales team in 2017. Future layoffs are coming as soon as Gannett takes its email accounts back, which I believe is supposed to happen this summer. He has not run a successful 

Because so many talented specialists have left, if you are competent, your team leads will catch on quickly and throw a massive workload on to you. You may manage a book of 80+ accounts because of your proficiency while other specialists struggle with a few dozen, but it's fine because the job is so mindless. The lack of creativity allowed in all departments is stifling, and managers are terrified to try unique and creative processes, new tools, different strategies and more if it falls out of the build standardization. Oh, and you may be asked to take on extra work while your team lead is literally coloring while on the clock and showing pictures off to her (and your) manager for praise, or managers leave at 4:30 for happy hour even though their team is still working on project they assigned.

Tegna has wisely started monitoring this company to trim all of the excess fat so G/O doesn't actively cost them money in the future. Luckily, this should be an easy fix, as the company employs dozens of middlemen called account managers. They get paid more than fulfillment specialists, and receive all of the bonuses for renewals (and not the fulfillment specialists who actually make the account run successfully). All they have to do is copy and paste emails from sales reps in markets, and then copy and paste the fulfillment specialists responses. It's the job to get at the company if you HAVE to work here. Maybe Tegna will see this and realize that if they hired a few more fulfillment specialists in each department, they would likely have the bandwidth to be client/sales rep facing.

If you are fresh out of college, I suppose you could do worse than G/O for your first job IF you are a self-motivator and willing to train yourself, as the lack of training is staggering. Employees train each other, so latch on to the one good specialist left in each department, learn everything you can as fast as you can, and then get out before you get too far in. The longer you stay, the more you realize how much better other agencies are. But if you are an experienced digital marketer, you will not (and should not) last long. I have seen specialists get hired and leave a week or two later, and most of the ""good hires"" (who get hired with experience) are out in a few months at most.

And they are NEVER going to get their name on the building either.",1.0,2.0,1.0,1.0,1.0,1.0,,cross,cross
2017-11-27,,,Current Employee,Digital Marketing Mgr,0,"Great management and culture. People are friendly, I lactually look forward to seeing my coworkers. Facility amenities include daily snacks, gym and dedicated garage.","Not great on benefits, the premiums can be fairly expensive compared other digital agencies. Some people in management micromanages the team.",,5.0,4.0,5.0,5.0,4.0,4.0,,mark,mark
2017-10-09,Anonymous,"Phoenix, AZ","Former Employee, more than 5 years",On Life Support,15,- G/O had a great ride for the first 3 years I was with the company. A scrappy (in a good way) type of company that had employees who fought to do right for clients and internal teams members. This period has passed...,"- Upper management are narcissistic dinosaurs. They all should be fired, starting with the CEO, Tim Fagan. He is largely responsible for destroying what G/O once was. It's criminal that he wasn't fired years ago. Calling him incompetent is being too generous. VPs are just as bad.

- What remains of my former middle management coworkers is overwhelmingly a group of backstabbing morons. Most have no real skills or talent to offer and are in the position they are in now because they play dirty and only value meaningless titles and a bit of power. They are baby clones of the type of people in upper management roles. I'm truly thankful I escaped.","It's a lost cause. To sum up current state, G/O should simply not exist at this point. G/O will continue to survive in some form though since it can leech off of Tegna, but it will NEVER thrive again. I'm embarrassed for the employees that still work there. Get out while you can, the grass is greener on the other side.",2.0,3.0,1.0,2.0,2.0,1.0,,cross,cross
2017-09-19,Anonymous,,Current Employee,Long time Employee,0,"Great Company, good leadership and flexibility",Needs more structure and direction,Keep doing what you are doing,4.0,,,,,,,mark,mark
