date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
2022-05-26,Anonymous,,"Former Employee, more than 5 years",Very good environment to work,0,Very supportive team and learning opportunities are good,No cons. Enjoyed a lot,,5.0,,,,,,,mark,circle
2022-05-26,IT Senior Director,Mumbai,"Current Employee, more than 10 years",Good place to work,0,Excellent environment to work in,We are losing BEST Talent,,5.0,,,,,,,mark,mark
2022-05-26,Programmer Analyst,,Current Employee,Its great place to work,0,Amazing opportunities to work and great people!,"Less Pay, Less Incentives, Less Bonuses!",,5.0,,,,,,,mark,mark
2022-05-26,Senior Software Engineer,Airoli,"Current Employee, more than 1 year",Great Feeling Working here,0,Good Work Culture at LTI,Nothing specific as of now.,,5.0,,,,,,,mark,mark
2022-05-26,Senior SAP Consultant,Hyderābād,Current Employee,Sap,0,Good good good good good,Nothing to say more about organisation,,5.0,,,,,,,circle,circle
2022-05-26,Senior Test Manager,,"Current Employee, more than 8 years",Employee friendly,0,Employee friendly and very good work culture,Not a good paymaster in the industry,,4.0,,,,,,,mark,mark
2022-05-25,Senior Software Engineer,Pune,Current Employee,Good,0,"Stable life styles, good working environment.",Project does not have that much technical work.,,5.0,,,,,,,circle,circle
2022-05-25,Senior Software Engineer,Chennai,"Current Employee, more than 3 years",Awesome Organization for a Fresher,0,"Good Technology, High level projects, Work Environment.",Salary hike after 3 years,,5.0,,,,,,,mark,mark
2022-05-25,Anonymous,,"Current Employee, more than 5 years",Decent opportunities with cutting edge technologies,0,Exposure cutting edge technologies like cloud,Don't have enough work-life balance for some projects,,4.0,,,,,,,circle,circle
2022-05-25,Senior Engineer,Pune,"Current Employee, less than 1 year",Mscrm technical,0,Work like balance is good here,They will give less hike,,4.0,,,,,,,mark,mark
2022-05-27,KYC CDD Analyst,Hyderābād,"Former Employee, more than 3 years",Excellent company,0,Excellent culture and work life balance is there.,Increments are less but comfortable company to stay.,Friendly environment with higher management.,5.0,,,,,,,mark,mark
2022-05-26,Systems Engineer,Bangalore,"Current Employee, more than 3 years",Review,0,Great Opportunity for Freshers to learn and grow in technical field .,"Nothing, everything is good in TCS.",NA,5.0,,,,,,,mark,mark
2022-05-26,Technical Lead,,Current Employee,Good learning experiance,0,"More projects
New technologies
Work life balance
Good learning Opportunity","Big Teams
Micro Management
Less Increments
Less recognizance",Need to avoid micro management and politics,5.0,,,,,,,mark,mark
2022-05-26,Assistant Systems Engineer,New Delhi,"Current Employee, less than 1 year",Great place to work,0,"Great health care
Learning tools and opportunities
Lot of opportunities to grow",Salary is not much for freshers,Good management,5.0,,,,,,,mark,mark
2022-05-26,Project Manager,,"Current Employee, more than 10 years",Project manager,0,Good work culture at TCS,Salary is not as per industry standards,,5.0,,,,,,,mark,mark
2022-05-26,Customer Service Associate,,Current Employee,Senior customer service associate,0,Have vibrant and friendly atmosphere. Good peers and opportunities,Career growth is very nice here,Extremely career oriented and we'll paced organization,5.0,,,,,,,mark,mark
2022-05-26,Application Support Engineer,,Current Employee,Great Company,0,Its a Grate Company to work with,No Cons.TCS is great and really have a good work culture.,,5.0,,,,,,,mark,mark
2022-05-26,Hardware ASIC Design Engineer,,Former Employee,good,0,good work life balance found,No cons to be found,,5.0,,,,,,,mark,line
2022-05-26,Assistant Consultant At TCS,,Current Employee,Good,0,"All is good, office culture, onsite opportunities, health insurance.","Not good annual hike, small package in India.",,5.0,,,,,,,mark,mark
2022-05-26,SAP HCM Functional Consultant,,Current Employee,Good work culture,0,"Learn new skills , good culture","Work life balance , hike",,5.0,,,,,,,mark,mark
